,case,truth,pred,type,volume,intensity
38,case_038,1,0.9990453,"[""['epidural']""]",31.41641616821289,['[49.89886324664168]']
39,case_039,0,0.1894275,None,NaN,NaN
40,case_040,1,0.99901116,"[""['epidural']""]",35.672664642333984,['[52.03390695265456]']
41,case_041,1,0.9566385,"[""['subdural']""]",7.708549499511718,['[57.894344866833066]']
42,case_042,1,0.9613396,"[""['subdural']""]",19.678115844726562,['[51.5802957039492]']
43,case_043,1,0.9954071,"[""['round']""]",13.154983520507812,['[54.76658407304596]']
44,case_044,1,0.5591828,"[""['round']""]",79.66423034667969,['[48.62513065680678]']
45,case_045,0,0.0527144,None,NaN,NaN
46,case_046,0,0.19859031,None,NaN,NaN
47,case_047,0,0.112869896,None,NaN,NaN
48,case_048,0,0.029912848,None,NaN,NaN
49,case_049,0,0.060473967,None,NaN,NaN
50,case_050,1,0.99862456,"[""['subdural']""]",29.73771095275879,['[64.78239849907001]']
51,case_051,1,0.9946949,"[""['round']""]",13.273477554321289,['[55.205259317063046]']
52,case_052,1,0.9527699,"[""['round']""]",23.749351501464844,['[49.94115638885803]']
53,case_053,1,0.99962986,"[""['epidural']""]",32.57942199707031,['[68.04673474775107]']
54,case_054,1,0.9989513,"[""['round']""]",60.85824966430664,['[54.32790882902888]']
55,case_055,1,0.9997495,"[""['epidural']""]",31.50320053100586,['[60.57408177670603]']
56,case_056,1,0.7340929,"[""['subdural']""]",11.672019958496094,['[46.988259949124576]']
57,case_057,0,0.16332577,None,NaN,NaN
58,case_058,0,0.1831764,None,NaN,NaN
59,case_059,0,0.14040598,None,NaN,NaN
60,case_060,1,0.99924785,"[""['epidural']""]",50.560951232910156,['[64.48832857106297]']
61,case_061,1,0.9998505,"[""['subdural']""]",108.72173309326172,['[49.284277826536886]']
62,case_062,1,0.9595372,"[""['subdural']""]",19.803285598754883,['[68.80042978454156]']
63,case_063,1,0.85105866,"[""['subdural']""]",5.279302597045898,['[69.37443425389465]']
64,case_064,1,0.9776095,"[""['epidural']""]",18.918275833129883,['[57.01567560001792]']
65,case_065,0,0.049023405,None,NaN,NaN
66,case_066,1,0.14659186,"[""['subdural']""]",1.2636184692382808,['[72.24445660066003]']
67,case_067,1,0.99981374,"[""['epidural']""]",87.74352073669434,['[50.6105444819793]']
68,case_068,1,0.998159,"[""['subdural']""]",17.481088638305664,['[55.59832698942076]']
69,case_069,1,0.9796307,"[""['round']""]",15.748739242553711,['[64.8561146854389]']
70,case_070,1,0.163845,"[""['subdural']""]",14.87588882446289,['[45.84025101041841]']
71,case_071,1,0.9960343,"[""['subdural']""]",16.229629516601562,['[56.17233145877383]']
72,case_072,1,0.75818676,"[""['round']""]",2.713441848754883,['[52.13453260894345]']
73,case_073,1,0.9997987,"[""['subdural']""]",74.86557960510254,['[55.02432252006767]']
74,case_074,1,0.9980413,"[""['epidural']""]",9.682655334472656,['[78.72195327781542]']
75,case_075,1,0.95323855,"[""['subdural']""]",13.098716735839844,['[49.85828229588997]']
76,case_076,0,0.140413,None,NaN,NaN
77,case_077,1,0.9473116,"[""['round']""]",16.283035278320312,['[58.71466126919971]']
78,case_078,1,0.9969215,"[""['epidural']""]",38.85936737060547,['[54.52479127633623]']
79,case_079,1,0.9926379,"[""['round']""]",33.318281173706055,['[58.27598602518263]']
80,case_080,1,0.9938484,"[""['epidural']""]",17.652273178100586,['[60.92992239437484]']
81,case_081,1,0.19277011,"[""['subdural']""]",4.958868026733397,['[47.56226441847765]']
82,case_082,1,0.76860845,"[""['round']""]",9.465217590332031,['[53.8892335850118]']
83,case_083,1,0.99894375,"[""['subdural']""]",27.074337005615234,['[64.20839402971693]']
84,case_084,1,0.9992329,"[""['subdural']""]",93.3067798614502,['[61.338371682951546]']
85,case_086,1,0.99993503,"[""['epidural']""]",56.86306953430176,['[57.371516217686725]']
86,case_087,0,0.059880175,None,NaN,NaN
87,case_088,1,0.9999001,"[""['epidural']""]",19.881248474121094,['[53.81311004099861]']
88,case_089,0,0.059067123,None,NaN,NaN
89,case_090,1,0.9987081,"[""['round']""]",39.237022399902344,['[57.39863553714847]']
90,case_091,1,0.99401325,"[""['round']""]",19.76799964904785,['[59.1533365132168]']
91,case_092,1,0.9755086,"[""['round']""]",5.005359649658203,['[62.2240632213364]']
92,case_093,0,0.25594226,None,NaN,NaN
93,case_094,1,0.606971,"[""['subdural']""]",11.31582260131836,['[59.04235380553922]']
94,case_095,0,0.2130664,None,NaN,NaN
95,case_096,0,0.09218984,None,NaN,NaN
96,case_097,1,0.9995409,"[""['epidural']""]",16.355514526367188,['[59.5065599236996]']
97,case_098,1,0.99940455,"[""['epidural']""]",65.22130966186523,['[47.763819540628816]']
98,case_099,1,0.93558294,"[""['round']""]",18.260478973388672,['[57.39863553714847]']
